,Averaging Time (sec),Bridge 1 Excitation (,Bridge 1 Resistance (ohms),Center Position (mm),"Coil Signal"" (mV)",Coil Signal' (mV),Comment,Frequency (Hz),M. Quad. Signal (emu),"M. Raw"" (emu)",M. Raw' (emu),M. Std. Err. (emu),Magnetic Field (Oe),Mass (grams),Max. Field (Oe),Max. Temperature (K),Measure Status (code),Min. Field (Oe),Min. Temperature (K),Moment (emu),Motor Lag (deg),Motor Status (code),PPMS Status (code),Peak Amplitude (mm),Pressure (Torr),Range (mV),Sample Position (deg),System Field (Oe),System Temp. (K),Temperature (K),Time Stamp (sec),Transport Action,VSM Status (code)
0,0.999253354069792,,,8.49999912083149,0.000338545260525012,0.00119277527073099,,40.0298881530762,1.14098481248831E-5,1.19614084544623E-5,0.000111602254819848,2.68884005986943E-6,6000.077,54.3317800002558,6000.15,25.0165234,0,6000.004,25.0118923,0.0001122091139759,20.1100740626372,0,5953,1.99258236191151,9.25E-6,0.25,,6000.077,24.9204,25.01420785,15140873.305,1,0
1,0.999253354069792,,,8.50999919697642,0.000351958180443082,0.00109660007948111,,40.0298881530762,1.41393046261073E-5,1.46317851037408E-5,0.000103244079058933,4.55749083454865E-6,5995.571,54.116050528948,5995.571,25.0355301,0,5995.571,25.0355301,0.00010382536010802,20.1203009663971,0,5985,1.99222714274834,9.2E-6,0.25,,5995.571,24.8558,25.0355301,15140884.055,1,0
2,0.999253354069792,,,8.49999912083149,0.000309044609827905,0.00110560505380842,,40.0298881530762,1.0151922113155E-5,1.06643411792924E-5,0.000103390058921823,3.54222318677221E-6,5982.3185,54.5756480982558,5995.571,25.0355301,0,5969.066,25.0333385,0.000103950503765363,20.1199473923073,0,5985,1.99224891893205,9.2E-6,0.25,,5982.3185,24.8521,25.0344343,15140884.58,1,0
3,0.999253354069792,,,8.50999919697642,0.000288116083625198,0.00111542418902048,,40.0298881530762,8.12144337367548E-6,8.64649994077093E-6,0.000103946122727402,3.30922420447605E-6,5960.221,54.2200071220057,5969.066,25.0333385,0,5951.376,25.0305424,0.000104498437585048,20.1199473923073,0,5985,1.99224891893205,9.2E-6,0.25,,5960.221,24.8473,25.03194045,15140885.39,1,0
4,0.999253354069792,,,8.50999919697642,0.000381114907519244,0.00116357328962958,,40.0298881530762,1.56894732834364E-5,1.62087566324531E-5,0.000109664469140315,4.01112875297331E-6,5938.108,54.4529324207365,5951.376,25.0305424,0,5924.84,25.0279446,0.000110286003480248,20.1194802000486,0,5985,1.99227039042551,9.2E-6,0.25,,5938.108,24.8431,25.0292435,15140886.26,1,0
5,0.999253354069792,,,8.49999912083149,0.00047576730248705,0.00115947577929253,,40.0298881530762,2.42368559493992E-5,2.47204407351711E-5,0.00011075798930711,4.54973453979559E-6,5910.7595,54.5076464170827,5924.84,25.0279446,0,5896.679,25.0217323,0.000111431452525173,20.1218859251309,0,5985,1.9920628627819,9.2E-6,0.25,,5910.7595,24.83925,25.02483845,15140887.27,1,0
6,0.999253354069792,,,8.50999919697642,0.000365721326307727,0.00111752191609677,,40.0298881530762,1.50425183180047E-5,1.5540900954016E-5,0.000105328352573963,4.68718425546033E-6,5883.4955,54.4779445333519,5896.679,25.0217323,0,5870.312,25.0188694,0.00010592555996463,20.1167577562872,0,5985,1.99209644582726,9.2E-6,0.25,,5883.4955,24.83575,25.02030085,15140888.29,1,0
7,0.999253354069792,,,8.49999912083149,0.000447367736369496,0.00120545855336602,,40.0298881530762,2.09621160449319E-5,2.14808675008505E-5,0.000114419350363588,4.06693445400203E-6,5856.2305,54.4021265669865,5870.312,25.0188694,0,5842.149,25.0163479,0.000115093362550433,20.1204716092523,0,5985,1.99220557544512,9.2E-6,0.25,,5856.2305,24.8334,25.01760865,15140889.28,1,0
8,0.999253354069792,,,8.50999919697642,0.000350021213210823,0.00120239971722242,,40.0298881530762,1.22909963414215E-5,1.28420598166508E-5,0.000112671100266369,3.29933836728276E-6,5831.608,54.4763812763135,5842.149,25.0163479,0,5821.067,25.0109329,0.000113289724412725,20.1213024041201,0,5985,1.99194878509818,9.2E-6,0.25,,5831.608,24.8323,25.0136404,15140890.25,1,0
9,0.999253354069792,,,8.50999919697642,0.000279022925637897,0.00117257955388492,,40.0298881530762,6.40222950717526E-6,6.96129601573332E-6,0.000108917612773308,2.81130770659994E-6,5807.0705,54.6608456068519,5821.067,25.0109329,0,5793.074,25.0086613,0.000109486112639206,20.1217071079676,0,5985,1.9920562683734,9.2E-6,0.25,,5807.0705,24.8321,25.0097971,15140891.26,1,0
10,0.999253354069792,,,8.50999919697642,0.000302822587350884,0.0012154387485368,,40.0298881530762,7.8554961602979E-6,8.43003268776904E-6,0.000113112799557985,3.04704314645296E-6,5779.92,54.789814312525,5793.074,25.0086613,0,5766.766,25.0069332,0.000113709930068307,20.1244953029305,0,5985,1.99194641807673,9.2E-6,0.25,,5779.92,24.8334,25.00779725,15140892.27,1,0
11,0.999253354069792,,,8.49999912083149,0.000349246985266542,0.0011884085904481,,40.0298881530762,1.24438927235883E-5,1.29867302392624E-5,0.000111407916251067,3.06401725773303E-6,5752.874,54.6710067776019,5766.766,25.0069332,0,5738.982,25.0037003,0.000112021717759189,20.1206989480275,0,5985,1.99199721409349,9.2E-6,0.25,,5752.874,24.83555,25.00531675,15140893.27,1,0
