,Averaging Time (sec),Bridge 1 Excitation (,Bridge 1 Resistance (ohms),Center Position (mm),"Coil Signal"" (mV)",Coil Signal' (mV),Comment,Frequency (Hz),M. Quad. Signal (emu),"M. Raw"" (emu)",M. Raw' (emu),M. Std. Err. (emu),Magnetic Field (Oe),Mass (grams),Max. Field (Oe),Max. Temperature (K),Measure Status (code),Min. Field (Oe),Min. Temperature (K),Moment (emu),Motor Lag (deg),Motor Status (code),PPMS Status (code),Peak Amplitude (mm),Pressure (Torr),Range (mV),Sample Position (deg),System Field (Oe),System Temp. (K),Temperature (K),Time Stamp (sec),Transport Action,VSM Status (code)
31,0.999253354069792,,,6.45000260323286,0.000696002348443392,0.00425342694710487,,40.0298881530762,-3.20453456516459E-6,-2.94667428092657E-6,0.00038825324464087,5.12596915104443E-7,5153.3135,55.8598637553521,5166.564,300.0217896,0,5140.063,300.0208435,0.000388263033040568,20.132033495505,0,5985,2.0026871067448,9.2E-6,0.25,,5153.3135,299.8936,300.02131655,29477265.01,1,0
32,0.999253354069792,,,6.44000299274921,0.000702420238334493,0.0042601017520453,,40.0298881530762,-2.73757073277227E-6,-2.47918577096077E-6,0.000389061279311295,3.73133974122622E-7,5127.639,56.0247873729098,5140.063,300.0220032,0,5115.215,300.0217896,0.000389071411250932,20.1178093145155,0,5985,2.0020589325582,9.2E-6,0.25,,5127.639,299.89235,300.0218964,29477265.99,1,0
33,0.999253354069792,,,6.44000299274921,0.000702016371473116,0.0042563944716995,,40.0298881530762,-2.71617893827285E-6,-2.45807298165539E-6,0.000388641332657893,4.49792990242765E-7,5102.0605,56.1545377071021,5115.215,300.0220032,0,5088.906,300.0209656,0.000388651459887753,20.1294834222718,0,5985,2.00251045645602,9.2E-6,0.25,,5102.0605,299.89285,300.0214844,29477267,1,0
34,0.999253354069792,,,6.44000299274921,0.000696851124024448,0.00425727671347511,,40.0298881530762,-3.18826585337893E-6,-2.93014658399566E-6,0.00038863910523724,5.0595468238743E-7,5079.0195,56.0998237107559,5088.906,300.0213928,0,5069.133,300.0209656,0.000388648914533735,20.1304301686509,0,5985,2.0025208075132,9.2E-6,0.25,,5079.0195,299.8932,300.0211792,29477268,1,0
35,0.999253354069792,,,6.44000299274921,0.000700065819940917,0.00425031782093969,,40.0298881530762,-2.79686486671934E-6,-2.53909893680706E-6,0.00038812214236436,4.63279119195184E-7,5055.9605,55.9771080332367,5069.133,300.0213928,0,5042.788,300.0209961,0.000388132196019617,20.1256999426938,0,5985,2.00224247746411,9.2E-6,0.25,,5055.9605,299.8924,300.02119445,29477268.99,1,0
36,0.999253354069792,,,6.44000299274921,0.000706871894807391,0.00425517801485522,,40.0298881530762,-2.26659543365142E-6,-2.00850769164956E-6,0.000388628152132358,4.94533149198361E-7,5030.4485,55.8051497590059,5042.788,300.0210876,0,5018.109,300.0209961,0.00038863857129023,20.1257223333818,0,5985,2.00239867302116,9.2E-6,0.25,,5030.4485,299.8915,300.02104185,29477270,1,0
37,0.999253354069792,,,6.44000299274921,0.00070082031711336,0.00425286302213323,,40.0298881530762,-2.76838680875707E-6,-2.51049497004761E-6,0.000388305710314795,4.39425065550157E-7,5005.012,56.374175321006,5018.109,300.0213623,0,4991.915,300.0210876,0.000388315789364513,20.1297752215196,0,5985,2.00253095392508,9.2E-6,0.25,,5005.012,299.88955,300.02122495,29477271,1,0
38,0.999253354069792,,,6.45000260323286,0.000702932687265895,0.00425340172412103,,40.0298881530762,-2.58916772250899E-6,-2.33121496364212E-6,0.000388400607244191,4.11511869477524E-7,4979.6515,55.7559071622943,4991.915,300.0213623,0,4967.388,300.0211487,0.000388410808922358,20.1307399595547,0,5985,2.00245126321377,9.2E-6,0.25,,4979.6515,299.88725,300.0212555,29477272.01,1,0
39,0.999253354069792,,,6.44000299274921,0.000697392021026073,0.00425417604174286,,40.0298881530762,-3.09307995475342E-6,-2.83511170427418E-6,0.000388398865522356,3.78987874095621E-7,4956.7335,55.8129660441982,4967.388,300.0222778,0,4946.079,300.0211487,0.000388408739414025,20.1273893582149,0,5985,2.00237723735871,9.2E-6,0.25,,4956.7335,299.8868,300.02171325,29477273.01,1,0
40,0.999253354069792,,,6.44000299274921,0.000700331987637931,0.00424794541602601,,40.0298881530762,-2.73672310323446E-6,-2.47911005396259E-6,0.000387879320365052,3.74519771888009E-7,4931.4095,56.1732967915636,4946.079,300.0222778,0,4916.74,300.0213013,0.000387889416065121,20.1270730048929,0,5985,2.00243615899149,9.2E-6,0.25,,4931.4095,299.88725,300.02178955,29477274.095,1,0
